,Feature1,Feature2,Target
0,1.9643,4.5957,1
1,2.2753,3.8589,1
2,2.9781,4.5651,1
3,2.932,3.5519,1
4,3.5772,2.856,1
5,4.015,3.1937,1
6,3.3814,3.4291,1
7,3.9113,4.1761,1
8,2.7822,4.0431,1
9,2.5518,4.6162,1
10,3.3698,3.9101,1
11,3.1048,3.0709,1
12,1.9182,4.0534,1
13,2.2638,4.3706,1
14,2.6555,3.5008,1
15,3.1855,4.2888,1
16,3.6579,3.8692,1
17,3.9113,3.4291,1
18,3.6002,3.1221,1
19,3.0357,3.3165,1
20,1.5841,3.3575,0
21,2.0103,3.2039,0
22,1.9527,2.7843,0
23,2.2753,2.7127,0
24,2.3099,2.9584,0
25,2.8283,2.6309,0
26,3.0473,2.2931,0
27,2.4827,2.0373,0
28,2.5057,2.3853,0
29,1.8721,2.0577,0
30,2.0103,2.3546,0
31,1.2269,2.3239,0
32,1.8951,2.9174,0
33,1.561,3.0709,0
34,1.5495,2.6923,0
35,1.6878,2.4057,0
36,1.4919,2.0271,0
37,0.962,2.682,0
38,1.1693,2.9276,0
39,0.8122,2.9992,0
40,0.9735,3.3881,0
41,1.25,3.1937,0
42,1.3191,3.5109,0
43,2.2292,2.201,0
44,2.4482,2.6411,0
45,2.7938,1.9656,0
46,2.091,1.6177,0
47,2.5403,2.8867,0
48,0.9044,3.0198,0
49,0.76615,2.5899,0
50,0.086405,4.1045,1
