gvkey,datadate,fyear,tic,conm,at,csho,ib
1690,20100930,2010,AAPL,APPLE INC,75183,915.97,14013
1690,20110930,2011,AAPL,APPLE INC,116371,929.277,25922
1690,20120930,2012,AAPL,APPLE INC,176064,939.208,41733
1690,20130930,2013,AAPL,APPLE INC,207000,899.213,37037
1690,20140930,2014,AAPL,APPLE INC,231839,5866.161,39510
1690,20150930,2015,AAPL,APPLE INC,290479,5578.753,53394
1690,20160930,2016,AAPL,APPLE INC,321686,5336.166,45687
1690,20170930,2017,AAPL,APPLE INC,375319,5126.201,48351
1690,20180930,2018,AAPL,APPLE INC,365725,4754.986,59531
1690,20190930,2019,AAPL,APPLE INC,338516,,55256
1690,20200930,2020,AAPL,APPLE INC,323888,,57411
1690,20210930,2021,AAPL,APPLE INC,351002,,94680
1690,20100930,2010,AAPL,APPLE INC,75183,915.97,14013
1690,20110930,2011,AAPL,APPLE INC,116371,929.277,25922
1690,20120930,2012,AAPL,APPLE INC,176064,939.208,41733
1690,20130930,2013,AAPL,APPLE INC,207000,899.213,37037
1690,20140930,2014,AAPL,APPLE INC,231839,5866.161,39510
1690,20150930,2015,AAPL,APPLE INC,290479,5578.753,53394
1690,20160930,2016,AAPL,APPLE INC,321686,5336.166,45687
1690,20170930,2017,AAPL,APPLE INC,375319,5126.201,48351
1690,20180930,2018,AAPL,APPLE INC,365725,4754.986,59531
1690,20190930,2019,AAPL,APPLE INC,338516,4443.236,55256
1690,20200930,2020,AAPL,APPLE INC,323888,16976.763,57411
1690,20210930,2021,AAPL,APPLE INC,351002,16426.786,94680
6066,20101231,2010,IBM,INTL BUSINESS MACHINES CORP,113452,1227.993,14833
6066,20111231,2011,IBM,INTL BUSINESS MACHINES CORP,116433,1163.183,15855
6066,20121231,2012,IBM,INTL BUSINESS MACHINES CORP,119213,1117.368,16604
6066,20131231,2013,IBM,INTL BUSINESS MACHINES CORP,126223,1054.391,16483
6066,20141231,2014,IBM,INTL BUSINESS MACHINES CORP,117532,990.524,15751
6066,20151231,2015,IBM,INTL BUSINESS MACHINES CORP,110495,965.729,13364
6066,20161231,2016,IBM,INTL BUSINESS MACHINES CORP,117470,945.867,11881
6066,20171231,2017,IBM,INTL BUSINESS MACHINES CORP,125356,922.179,5758
6066,20181231,2018,IBM,INTL BUSINESS MACHINES CORP,123382,,8723
6066,20191231,2019,IBM,INTL BUSINESS MACHINES CORP,152186,,9435
6066,20201231,2020,IBM,INTL BUSINESS MACHINES CORP,155971,,5501
6066,20211231,2021,IBM,INTL BUSINESS MACHINES CORP,132001,,4712
6266,20101231,2010,JNJ,JOHNSON & JOHNSON,102908,2738.097,13334
6266,20111231,2011,JNJ,JOHNSON & JOHNSON,113644,2724.363,9672
6266,20121231,2012,JNJ,JOHNSON & JOHNSON,121347,2778.489,10853
6266,20131231,2013,JNJ,JOHNSON & JOHNSON,132683,2820.628,13831
6266,20141231,2014,JNJ,JOHNSON & JOHNSON,131119,2783.223,16323
6266,20151231,2015,JNJ,JOHNSON & JOHNSON,133411,2755.162,15409
6266,20161231,2016,JNJ,JOHNSON & JOHNSON,141208,2706.511,16540
6266,20171231,2017,JNJ,JOHNSON & JOHNSON,157303,2682.525,1300
6266,20181231,2018,JNJ,JOHNSON & JOHNSON,152954,2662.324,15297
6266,20191231,2019,JNJ,JOHNSON & JOHNSON,157728,2632.507,15119
6266,20201231,2020,JNJ,JOHNSON & JOHNSON,174894,2632.512,14714
6266,20211231,2021,JNJ,JOHNSON & JOHNSON,182018,2628.965,20878
12141,20100630,2010,MSFT,MICROSOFT CORP,86113,8668,18760
12141,20110630,2011,MSFT,MICROSOFT CORP,108704,8376,23150
12141,20120630,2012,MSFT,MICROSOFT CORP,121271,8381,16978
12141,20130630,2013,MSFT,MICROSOFT CORP,142431,8328,21863
12141,20140630,2014,MSFT,MICROSOFT CORP,172384,8239,22074
12141,20150630,2015,MSFT,MICROSOFT CORP,176223,8027,12193
12141,20160630,2016,MSFT,MICROSOFT CORP,193694,7808,16798
12141,20170630,2017,MSFT,MICROSOFT CORP,241086,7708,21204
12141,20180630,2018,MSFT,MICROSOFT CORP,258848,7677,16571
12141,20190630,2019,MSFT,MICROSOFT CORP,286556,7643,39240
12141,20200630,2020,MSFT,MICROSOFT CORP,301311,7571,44281
12141,20210630,2021,MSFT,MICROSOFT CORP,333779,7519,61271
12141,20220630,2022,MSFT,MICROSOFT CORP,364840,7464,72738
184996,20101231,2010,TSLA,TESLA INC,386.082,94.908,-154.328
184996,20111231,2011,TSLA,TESLA INC,713.448,104.53,-254.411
184996,20121231,2012,TSLA,TESLA INC,1114.19,114.214,-396.213
184996,20131231,2013,TSLA,TESLA INC,2416.93,123.091,-74.014
184996,20141231,2014,TSLA,TESLA INC,5849.251,125.688,-294.04
184996,20151231,2015,TSLA,TESLA INC,8092.46,131.425,-888.663
184996,20161231,2016,TSLA,TESLA INC,22664.076,161.561,-674.914
184996,20171231,2017,TSLA,TESLA INC,28655.372,168.797,-1961.4
184996,20181231,2018,TSLA,TESLA INC,29739.614,172.603,-976.091
184996,20191231,2019,TSLA,TESLA INC,34309,181,-862
184996,20201231,2020,TSLA,TESLA INC,52148,960,721
184996,20211231,2021,TSLA,TESLA INC,62131,1033,5519
