gvkey,datadate,fyear,csho,prcc_f
1690,20100930,2010,915.97,283.75
1690,20110930,2011,929.277,381.32
1690,20120930,2012,939.208,667.105
1690,20130930,2013,899.213,476.75
1690,20140930,2014,5866.161,100.75
1690,20150930,2015,5578.753,110.3
1690,20160930,2016,5336.166,113.05
1690,20170930,2017,5126.201,154.12
1690,20180930,2018,4754.986,225.74
1690,20190930,2019,,223.97
1690,20200930,2020,,115.81
1690,20210930,2021,,141.5
1690,20100930,2010,915.97,283.75
1690,20110930,2011,929.277,381.32
1690,20120930,2012,939.208,667.105
1690,20130930,2013,899.213,476.75
1690,20140930,2014,5866.161,100.75
1690,20150930,2015,5578.753,110.3
1690,20160930,2016,5336.166,113.05
1690,20170930,2017,5126.201,154.12
1690,20180930,2018,4754.986,225.74
1690,20190930,2019,4443.236,223.97
1690,20200930,2020,16976.763,115.81
1690,20210930,2021,16426.786,141.5
6066,20101231,2010,1227.993,146.76
6066,20111231,2011,1163.183,183.88
6066,20121231,2012,1117.368,191.55
6066,20131231,2013,1054.391,187.57
6066,20141231,2014,990.524,160.44
6066,20151231,2015,965.729,137.62
6066,20161231,2016,945.867,165.99
6066,20171231,2017,922.179,153.42
6066,20181231,2018,,113.67
6066,20191231,2019,,134.04
6066,20201231,2020,,125.88
6066,20211231,2021,,133.66
6266,20101231,2010,2738.097,61.85
6266,20111231,2011,2724.363,65.58
6266,20121231,2012,2778.489,70.1
6266,20131231,2013,2820.628,91.59
6266,20141231,2014,2783.223,104.57
6266,20151231,2015,2755.162,102.72
6266,20161231,2016,2706.511,115.21
6266,20171231,2017,2682.525,139.72
6266,20181231,2018,2662.324,129.05
6266,20191231,2019,2632.507,145.87
6266,20201231,2020,2632.512,157.38
6266,20211231,2021,2628.965,171.07
12141,20100630,2010,8668,23.01
12141,20110630,2011,8376,26
12141,20120630,2012,8381,30.59
12141,20130630,2013,8328,34.545
12141,20140630,2014,8239,41.7
12141,20150630,2015,8027,44.15
12141,20160630,2016,7808,51.17
12141,20170630,2017,7708,68.93
12141,20180630,2018,7677,98.61
12141,20190630,2019,7643,133.96
12141,20200630,2020,7571,203.51
12141,20210630,2021,7519,270.9
12141,20220630,2022,7464,256.83
184996,20101231,2010,94.908,26.63
184996,20111231,2011,104.53,28.56
184996,20121231,2012,114.214,33.87
184996,20131231,2013,123.091,150.429
184996,20141231,2014,125.688,222.41
184996,20151231,2015,131.425,240.01
184996,20161231,2016,161.561,213.69
184996,20171231,2017,168.797,311.35
184996,20181231,2018,172.603,332.8
184996,20191231,2019,181,418.33
184996,20201231,2020,960,705.67
184996,20211231,2021,1033,1056.78
