gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ib,costat,prcc_f
001690,20100930,2010,INDL,C,D,STD,AAPL,APPLE INC,USD,75183.0000,14013.0000,A,283.7500
001690,20110930,2011,INDL,C,D,STD,AAPL,APPLE INC,USD,116371.0000,25922.0000,A,381.3200
001690,20120930,2012,INDL,C,D,STD,AAPL,APPLE INC,USD,176064.0000,41733.0000,A,667.1050
001690,20130930,2013,INDL,C,D,STD,AAPL,APPLE INC,USD,207000.0000,37037.0000,A,476.7500
001690,20140930,2014,INDL,C,D,STD,AAPL,APPLE INC,USD,231839.0000,39510.0000,A,100.7500
001690,20150930,2015,INDL,C,D,STD,AAPL,APPLE INC,USD,290479.0000,53394.0000,A,110.3000
001690,20160930,2016,INDL,C,D,STD,AAPL,APPLE INC,USD,321686.0000,45687.0000,A,113.0500
001690,20170930,2017,INDL,C,D,STD,AAPL,APPLE INC,USD,375319.0000,48351.0000,A,154.1200
001690,20180930,2018,INDL,C,D,STD,AAPL,APPLE INC,USD,365725.0000,59531.0000,A,225.7400
001690,20190930,2019,INDL,C,D,STD,AAPL,APPLE INC,USD,338516.0000,55256.0000,A,223.9700
001690,20200930,2020,INDL,C,D,STD,AAPL,APPLE INC,USD,323888.0000,57411.0000,A,115.8100
001690,20210930,2021,INDL,C,D,STD,AAPL,APPLE INC,USD,351002.0000,94680.0000,A,141.5000
006066,20101231,2010,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,113452.0000,14833.0000,A,146.7600
006066,20111231,2011,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,116433.0000,15855.0000,A,183.8800
006066,20121231,2012,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,119213.0000,16604.0000,A,191.5500
006066,20131231,2013,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,126223.0000,16483.0000,A,187.5700
006066,20141231,2014,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,117532.0000,15751.0000,A,160.4400
006066,20151231,2015,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,110495.0000,13364.0000,A,137.6200
006066,20161231,2016,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,117470.0000,11881.0000,A,165.9900
006066,20171231,2017,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,125356.0000,5758.0000,A,153.4200
006066,20181231,2018,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,123382.0000,8723.0000,A,113.6700
006066,20191231,2019,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,152186.0000,9435.0000,A,134.0400
006066,20201231,2020,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,155971.0000,5501.0000,A,125.8800
006066,20211231,2021,INDL,C,D,STD,IBM,INTL BUSINESS MACHINES CORP,USD,132001.0000,4712.0000,A,133.6600
006266,20101231,2010,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,102908.0000,13334.0000,A,61.8500
006266,20111231,2011,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,113644.0000,9672.0000,A,65.5800
006266,20121231,2012,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,121347.0000,10853.0000,A,70.1000
006266,20131231,2013,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,132683.0000,13831.0000,A,91.5900
006266,20141231,2014,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,131119.0000,16323.0000,A,104.5700
006266,20151231,2015,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,133411.0000,15409.0000,A,102.7200
006266,20161231,2016,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,141208.0000,16540.0000,A,115.2100
006266,20171231,2017,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,157303.0000,1300.0000,A,139.7200
006266,20181231,2018,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,152954.0000,15297.0000,A,129.0500
006266,20191231,2019,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,157728.0000,15119.0000,A,145.8700
006266,20201231,2020,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,174894.0000,14714.0000,A,157.3800
006266,20211231,2021,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,182018.0000,20878.0000,A,171.0700
012141,20100630,2010,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,86113.0000,18760.0000,A,23.0100
012141,20110630,2011,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,108704.0000,23150.0000,A,26.0000
012141,20120630,2012,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,121271.0000,16978.0000,A,30.5900
012141,20130630,2013,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,142431.0000,21863.0000,A,34.5450
012141,20140630,2014,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,172384.0000,22074.0000,A,41.7000
012141,20150630,2015,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,176223.0000,12193.0000,A,44.1500
012141,20160630,2016,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,193694.0000,16798.0000,A,51.1700
012141,20170630,2017,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,241086.0000,21204.0000,A,68.9300
012141,20180630,2018,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,258848.0000,16571.0000,A,98.6100
012141,20190630,2019,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,286556.0000,39240.0000,A,133.9600
012141,20200630,2020,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,301311.0000,44281.0000,A,203.5100
012141,20210630,2021,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,333779.0000,61271.0000,A,270.9000
012141,20220630,2022,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,364840.0000,72738.0000,A,256.8300
184996,20101231,2010,INDL,C,D,STD,TSLA,TESLA INC,USD,386.0820,-154.3280,A,26.6300
184996,20111231,2011,INDL,C,D,STD,TSLA,TESLA INC,USD,713.4480,-254.4110,A,28.5600
184996,20121231,2012,INDL,C,D,STD,TSLA,TESLA INC,USD,1114.1900,-396.2130,A,33.8700
184996,20131231,2013,INDL,C,D,STD,TSLA,TESLA INC,USD,2416.9300,-74.0140,A,150.4290
184996,20141231,2014,INDL,C,D,STD,TSLA,TESLA INC,USD,5849.2510,-294.0400,A,222.4100
184996,20151231,2015,INDL,C,D,STD,TSLA,TESLA INC,USD,8092.4600,-888.6630,A,240.0100
184996,20161231,2016,INDL,C,D,STD,TSLA,TESLA INC,USD,22664.0760,-674.9140,A,213.6900
184996,20171231,2017,INDL,C,D,STD,TSLA,TESLA INC,USD,28655.3720,-1961.4000,A,311.3500
184996,20181231,2018,INDL,C,D,STD,TSLA,TESLA INC,USD,29739.6140,-976.0910,A,332.8000
184996,20191231,2019,INDL,C,D,STD,TSLA,TESLA INC,USD,34309.0000,-862.0000,A,418.3300
184996,20201231,2020,INDL,C,D,STD,TSLA,TESLA INC,USD,52148.0000,721.0000,A,705.6700
184996,20211231,2021,INDL,C,D,STD,TSLA,TESLA INC,USD,62131.0000,5519.0000,A,1056.7800
